Data_Point,Test_Time_s_,Step_Time_s_,Step_Index,Cycle_Index,I,V,ChargeCapacityAh,Discharge_CapacityAh,Charge_EnergyWh,Discharge_EnergyWh,dV_dt_V_s_,Internal_Resistance_Ohm_,Is_FC_Data,AC_Impedance_Ohm_,ACI_Phase_Angle_Deg_,T,SOC,QAccu
8292,18909,7200,6,1,0,3.9606,2.1172,0.39993,8.1014,1.5931,-3.2425e-05,0,0,0,0,45,0.8,0
8293,18910,1.0155,7,1,-0.11102,3.9516,2.1172,0.39996,8.1014,1.5932,-0.0017179,0,0,0,0,45,0.79999,-2.9656e-05
8294,18911,2.0155,7,1,-0.11084,3.9515,2.1172,0.39999,8.1014,1.5933,-0.0017503,0,0,0,0,45,0.79997,-6.0516e-05
8295,18912,3.0312,7,1,-0.11102,3.9512,2.1172,0.40002,8.1014,1.5934,-0.0018151,0,0,0,0,45,0.79996,-9.1852e-05
8296,18913,4.0312,7,1,-0.11102,3.9512,2.1172,0.40006,8.1014,1.5936,-0.0018151,0,0,0,0,45,0.79994,-0.0001227
8297,18914,5.0468,7,1,-0.1112,3.951,2.1172,0.40009,8.1014,1.5937,-0.00012965,0,0,0,0,45,0.79993,-0.00015403
8298,18915,6.0624,7,1,-0.83372,3.8949,2.1172,0.40032,8.1014,1.5946,-0.011312,0,0,0,0,45,0.79982,-0.00038609
8299,18916,7.0625,7,1,-0.83372,3.8939,2.1172,0.40055,8.1014,1.5955,-0.011441,0,0,0,0,45,0.79971,-0.00061769
8300,18917,8.0781,7,1,-0.8339,3.893,2.1172,0.40079,8.1014,1.5964,-0.011636,0,0,0,0,45,0.79959,-0.00085289
8301,18918,9.0781,7,1,-0.8339,3.8923,2.1172,0.40102,8.1014,1.5973,-0.011733,0,0,0,0,45,0.79948,-0.0010845
8302,18919,10.078,7,1,-0.66703,3.904,2.1172,0.40125,8.1014,1.5982,0.0016854,0,0,0,0,45,0.79937,-0.0013143
8303,18920,11.078,7,1,-0.66721,3.9038,2.1172,0.40143,8.1014,1.5989,0.0019447,0,0,0,0,45,0.79929,-0.0014996
8304,18921,12.094,7,1,-0.66721,3.9037,2.1172,0.40162,8.1014,1.5997,0.0020743,0,0,0,0,45,0.7992,-0.0016878
8305,18922,13.109,7,1,-0.66703,3.9032,2.1172,0.40181,8.1014,1.6004,0.0021068,0,0,0,0,45,0.79911,-0.0018759
8306,18923,14.109,7,1,-0.66721,3.9029,2.1172,0.40199,8.1014,1.6011,0.002204,0,0,0,0,45,0.79902,-0.0020612
8307,18924,15.109,7,1,-0.99951,3.8776,2.1172,0.40219,8.1014,1.6019,-0.0052832,0,0,0,0,45,0.79893,-0.0022535
8308,18925,16.125,7,1,-0.99987,3.8761,2.1172,0.40247,8.1014,1.603,-0.0055425,0,0,0,0,45,0.79879,-0.0025355
8309,18926,17.14,7,1,-0.99969,3.8755,2.1172,0.40275,8.1014,1.6041,-0.0055425,0,0,0,0,45,0.79866,-0.0028175
8310,18927,18.156,7,1,-0.99951,3.8748,2.1172,0.40303,8.1014,1.6052,-0.0056397,0,0,0,0,45,0.79853,-0.0030996
8311,18928,19.171,7,1,-0.99969,3.8743,2.1172,0.40331,8.1014,1.6062,-0.0056721,0,0,0,0,45,0.79839,-0.0033773
8312,18929,20.172,7,1,-0.99951,3.8737,2.1172,0.40359,8.1014,1.6073,-0.00058341,0,0,0,0,45,0.79826,-0.0036593
