Data_Point,Test_Time_s_,Step_Time_s_,Step_Index,Cycle_Index,I,V,ChargeCapacityAh,Discharge_CapacityAh,Charge_EnergyWh,Discharge_EnergyWh,dV_dt_V_s_,Internal_Resistance_Ohm_,Is_FC_Data,AC_Impedance_Ohm_,ACI_Phase_Angle_Deg_,T,SOC,QAccu
2116,21218,7200,6,1,0,3.6948,1.7678,0.90345,6.9216,3.4017,-3.2277e-05,0,0,0,0,0,0.5,0
2117,21219,1.0155,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-4.2872e-08
2118,21220,2.0155,7,1,-0.00025413,3.6947,1.7678,0.90345,6.9216,3.4017,-3.2425e-05,0,0,0,0,0,0.5,-9.6208e-08
2119,21221,3.0313,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-1.5933e-07
2120,21222,4.0468,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,3.2377e-05,0,0,0,0,0,0.5,-2.1111e-07
2121,21223,5.0624,7,1,-0.00043408,3.6947,1.7678,0.90345,6.9216,3.4017,-3.2324e-05,0,0,0,0,0,0.5,-2.6835e-07
2122,21224,6.0781,7,1,0.00010576,3.695,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-3.2016e-07
2123,21225,7.0936,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-3.8676e-07
2124,21226,8.1092,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-4.5065e-07
2125,21227,9.1249,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,3.2176e-05,0,0,0,0,0,0.5,-5.11e-07
2126,21228,10.141,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,3.2276e-05,0,0,0,0,0,0.5,-5.776e-07
2127,21229,11.141,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-6.3693e-07
2128,21230,12.156,7,1,-0.00025413,3.6948,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-6.9768e-07
2129,21231,13.156,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,3.2276e-05,0,0,0,0,0,0.5,-7.4913e-07
2130,21232,14.172,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-7.916e-07
2131,21233,15.172,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,0,0,0,0,0,0,0.5,-8.3557e-07
2132,21234,16.187,7,1,-7.4186e-05,3.695,1.7678,0.90345,6.9216,3.4017,3.2377e-05,0,0,0,0,0,0.5,-8.9985e-07
2133,21235,17.203,7,1,-0.50051,3.6405,1.7678,0.90347,6.9216,3.4018,-0.010786,0,0,0,0,0,0.49999,-2.0501e-05
2134,21236,18.203,7,1,-0.50033,3.6365,1.7678,0.90361,6.9216,3.4023,-0.011624,0,0,0,0,0,0.49991,-0.00016164
2135,21237,19.219,7,1,-0.50051,3.635,1.7678,0.90375,6.9216,3.4028,-0.01195,0,0,0,0,0,0.49983,-0.00030282
2136,21238,20.234,7,1,-0.50015,3.6342,1.7678,0.90389,6.9216,3.4033,-0.012079,0,0,0,0,0,0.49975,-0.00044398
2137,21239,21.234,7,1,-0.50051,3.6333,1.7678,0.90403,6.9216,3.4038,-0.012311,0,0,0,0,0,0.49967,-0.000583
2138,21240,22.25,7,1,-0.50033,3.6326,1.7678,0.90417,6.9216,3.4043,-0.0013931,0,0,0,0,0,0.49959,-0.00072414
2139,21241,23.265,7,1,-0.50051,3.6318,1.7678,0.90431,6.9216,3.4048,-0.00090713,0,0,0,0,0,0.49951,-0.00086531
2140,21242,24.281,7,1,-0.50033,3.6312,1.7678,0.90446,6.9216,3.4054,-0.00077757,0,0,0,0,0,0.49943,-0.0010065
2141,21243,25.296,7,1,-0.50051,3.6305,1.7678,0.9046,6.9216,3.4059,-0.00074284,0,0,0,0,0,0.49935,-0.0011476
2142,21244,26.312,7,1,-0.50033,3.6297,1.7678,0.90474,6.9216,3.4064,-0.00070836,0,0,0,0,0,0.49927,-0.0012866
2143,21245,27.312,7,1,-0.50051,3.629,1.7678,0.90488,6.9216,3.4069,-0.00067827,0,0,0,0,0,0.49919,-0.0014278
2144,21246,28.328,7,1,-0.50033,3.6287,1.7678,0.90502,6.9216,3.4074,-0.00058137,0,0,0,0,0,0.49911,-0.0015689
2145,21247,29.343,7,1,-0.50051,3.6281,1.7678,0.90516,6.9216,3.4079,-0.00058135,0,0,0,0,0,0.49903,-0.0017101
2146,21248,30.359,7,1,-0.50033,3.6276,1.7678,0.9053,6.9216,3.4084,-0.00058139,0,0,0,0,0,0.49896,-0.0018513
2147,21249,31.359,7,1,-0.50033,3.6271,1.7678,0.90544,6.9216,3.4089,-0.00055075,0,0,0,0,0,0.49888,-0.0019903
2148,21250,32.375,7,1,-0.50051,3.6265,1.7678,0.90558,6.9216,3.4094,-0.0005474,0,0,0,0,0,0.4988,-0.0021314
2149,21251,33.375,7,1,-0.50033,3.626,1.7678,0.90572,6.9216,3.4099,-0.00051676,0,0,0,0,0,0.49872,-0.0022704
2150,21252,34.39,7,1,-0.50033,3.6255,1.7678,0.90586,6.9216,3.4105,-0.0004845,0,0,0,0,0,0.49864,-0.0024116
2151,21253,35.406,7,1,-0.50033,3.6252,1.7678,0.906,6.9216,3.411,-0.00045076,0,0,0,0,0,0.49856,-0.0025528
2152,21254,36.421,7,1,-0.50015,3.6247,1.7678,0.90614,6.9216,3.4115,-0.00045217,0,0,0,0,0,0.49848,-0.0026939
2153,21255,37.422,7,1,-0.50033,3.624,1.7678,0.90628,6.9216,3.412,-0.00048293,0,0,0,0,0,0.4984,-0.0028307
2154,21256,38.437,7,1,-0.50033,3.6235,1.7678,0.90642,6.9216,3.4125,-0.00048299,0,0,0,0,0,0.49832,-0.002974
2155,21257,39.453,7,1,-0.50033,3.6231,1.7678,0.90656,6.9216,3.413,-0.00048594,0,0,0,0,0,0.49824,-0.0031152
2156,21258,40.468,7,1,-0.50033,3.6229,1.7678,0.90671,6.9216,3.4135,-0.0004522,0,0,0,0,0,0.49816,-0.0032564
2157,21259,41.484,7,1,-0.50033,3.6224,1.7678,0.90685,6.9216,3.414,-0.00041988,0,0,0,0,0,0.49808,-0.0033976
2158,21260,42.484,7,1,-0.50069,3.6219,1.7678,0.90699,6.9216,3.4145,-0.00042119,0,0,0,0,0,0.498,-0.0035366
2159,21261,43.5,7,1,-0.50033,3.6218,1.7678,0.90713,6.9216,3.415,-0.00038641,0,0,0,0,0,0.49792,-0.0036777
2160,21262,44.515,7,1,-0.50051,3.6213,1.7678,0.90727,6.9216,3.4156,-0.00038876,0,0,0,0,0,0.49784,-0.0038189
2161,21263,45.515,7,1,-1.0002,3.5641,1.7678,0.90747,6.9216,3.4163,-0.011724,0,0,0,0,0,0.49773,-0.0040219
2162,21264,46.531,7,1,-1,3.562,1.7678,0.90775,6.9216,3.4173,-0.01201,0,0,0,0,0,0.49757,-0.004304
2163,21265,47.546,7,1,-1,3.5607,1.7678,0.90804,6.9216,3.4183,-0.012241,0,0,0,0,0,0.49741,-0.0045861
2164,21266,48.546,7,1,-0.99986,3.5596,1.7678,0.90831,6.9216,3.4193,-0.012402,0,0,0,0,0,0.49725,-0.0048639
2165,21267,49.562,7,1,-1,3.5583,1.7678,0.9086,6.9216,3.4203,-0.012596,0,0,0,0,0,0.4971,-0.0051461
2166,21268,50.577,7,1,-0.99986,3.5574,1.7678,0.90888,6.9216,3.4213,-0.0013201,0,0,0,0,0,0.49694,-0.0054282
2167,21269,51.593,7,1,-1.0002,3.5565,1.7678,0.90916,6.9216,3.4223,-0.0010658,0,0,0,0,0,0.49678,-0.0057104
2168,21270,52.609,7,1,-1,3.5555,1.7678,0.90944,6.9216,3.4233,-0.0010011,0,0,0,0,0,0.49662,-0.0059925
2169,21271,53.624,7,1,-1,3.5547,1.7678,0.90972,6.9216,3.4243,-0.00090435,0,0,0,0,0,0.49646,-0.0062747
2170,21272,54.64,7,1,-1.0002,3.5539,1.7678,0.91,6.9216,3.4253,-0.00086933,0,0,0,0,0,0.4963,-0.0065525
2171,21273,55.64,7,1,-1.0004,3.5529,1.7678,0.91028,6.9216,3.4263,-0.00087203,0,0,0,0,0,0.49614,-0.0068346
2172,21274,56.656,7,1,-1,3.5524,1.7678,0.91057,6.9216,3.4273,-0.00077275,0,0,0,0,0,0.49598,-0.0071168
2173,21275,57.671,7,1,0.49928,3.7233,1.7678,0.91067,6.9219,3.4277,0.033462,0,0,0,0,0,0.49597,-0.0071386
2174,21276,58.671,7,1,0.49928,3.727,1.768,0.91067,6.9225,3.4277,0.034471,0,0,0,0,0,0.49605,-0.0069999
2175,21277,59.687,7,1,0.49964,3.7293,1.7681,0.91067,6.923,3.4277,0.03487,0,0,0,0,0,0.49613,-0.006859
2176,21278,60.702,7,1,0.49946,3.7311,1.7683,0.91067,6.9235,3.4277,0.035528,0,0,0,0,0,0.49621,-0.0067181
2177,21279,61.718,7,1,0.49946,3.7326,1.7684,0.91067,6.924,3.4277,0.035946,0,0,0,0,0,0.49629,-0.0065772
2178,21280,62.733,7,1,0.49928,3.7339,1.7685,0.91067,6.9245,3.4277,0.0020994,0,0,0,0,0,0.49637,-0.0064385
2179,21281,63.734,7,1,0.49946,3.735,1.7687,0.91067,6.9251,3.4277,0.0015551,0,0,0,0,0,0.49645,-0.0062976
2180,21282,64.749,7,1,0.49946,3.7363,1.7688,0.91067,6.9256,3.4277,0.0013565,0,0,0,0,0,0.49652,-0.0061568
2181,21283,65.765,7,1,-7.4186e-05,3.6801,1.7689,0.91067,6.9258,3.4277,-0.010238,0,0,0,0,0,0.49655,-0.0061145
2182,21284,66.781,7,1,-7.4186e-05,3.6797,1.7689,0.91067,6.9258,3.4277,-0.010529,0,0,0,0,0,0.49655,-0.0061146
2183,21285,67.796,7,1,-7.4186e-05,3.6797,1.7689,0.91067,6.9258,3.4277,-0.010787,0,0,0,0,0,0.49655,-0.0061146
2184,21286,68.812,7,1,-0.00043408,3.6796,1.7689,0.91067,6.9258,3.4277,-0.011078,0,0,0,0,0,0.49655,-0.0061147
2185,21287,69.812,7,1,-0.00025413,3.6797,1.7689,0.91067,6.9258,3.4277,-0.01124,0,0,0,0,0,0.49655,-0.0061147
2186,21288,70.827,7,1,-0.00025413,3.6797,1.7689,0.91067,6.9258,3.4277,-6.4553e-05,0,0,0,0,0,0.49655,-0.0061148
2187,21289,71.843,7,1,-0.00025413,3.6799,1.7689,0.91067,6.9258,3.4277,6.4601e-05,0,0,0,0,0,0.49655,-0.0061148
2188,21290,72.843,7,1,-7.4186e-05,3.6802,1.7689,0.91067,6.9258,3.4277,9.7179e-05,0,0,0,0,0,0.49655,-0.0061149
2189,21291,73.858,7,1,-0.00025413,3.6802,1.7689,0.91067,6.9258,3.4277,0.0001292,0,0,0,0,0,0.49655,-0.0061149
2190,21292,74.858,7,1,-0.00025413,3.6806,1.7689,0.91067,6.9258,3.4277,0.00016149,0,0,0,0,0,0.49655,-0.006115
2191,21293,75.874,7,1,-0.00043408,3.6806,1.7689,0.91067,6.9258,3.4277,0.0001292,0,0,0,0,0,0.49655,-0.0061151
2192,21294,76.89,7,1,-0.00043408,3.6806,1.7689,0.91067,6.9258,3.4277,0.00016148,0,0,0,0,0,0.49655,-0.0061151
2193,21295,77.905,7,1,-0.00025413,3.6809,1.7689,0.91067,6.9258,3.4277,0.00012921,0,0,0,0,0,0.49655,-0.0061152
2194,21296,78.905,7,1,-0.00025413,3.681,1.7689,0.91067,6.9258,3.4277,0.00016148,0,0,0,0,0,0.49655,-0.0061152
2195,21297,79.905,7,1,-0.00025413,3.6812,1.7689,0.91067,6.9258,3.4277,0.0001296,0,0,0,0,0,0.49655,-0.0061153
2196,21298,80.905,7,1,-7.4186e-05,3.6814,1.7689,0.91067,6.9258,3.4277,0.00016098,0,0,0,0,0,0.49655,-0.0061153
2197,21300,81.921,7,1,-0.50051,3.6237,1.7689,0.9108,6.9258,3.4281,-0.011437,0,0,0,0,0,0.49648,-0.0062402
2198,21301,82.936,7,1,-0.50033,3.6224,1.7689,0.91094,6.9258,3.4286,-0.011728,0,0,0,0,0,0.4964,-0.0063814
2199,21302,83.952,7,1,-0.50051,3.6213,1.7689,0.91108,6.9258,3.4291,-0.011881,0,0,0,0,0,0.49632,-0.0065203
2200,21303,84.952,7,1,-0.50033,3.6208,1.7689,0.91122,6.9258,3.4297,-0.012117,0,0,0,0,0,0.49624,-0.0066615
2201,21304,85.968,7,1,-0.50051,3.6201,1.7689,0.91136,6.9258,3.4302,-0.012208,0,0,0,0,0,0.49616,-0.0068027
2202,21305,86.983,7,1,-0.50033,3.6195,1.7689,0.9115,6.9258,3.4307,-0.00083976,0,0,0,0,0,0.49608,-0.0069438
2203,21306,87.999,7,1,-0.50033,3.6188,1.7689,0.91164,6.9258,3.4312,-0.0007429,0,0,0,0,0,0.496,-0.0070828
2204,21307,88.999,7,1,-0.50033,3.6185,1.7689,0.91178,6.9258,3.4317,-0.00058316,0,0,0,0,0,0.49592,-0.007224
2205,21308,90.015,7,1,-0.50033,3.6177,1.7689,0.91192,6.9258,3.4322,-0.00058314,0,0,0,0,0,0.49584,-0.0073652
2206,21309,91.03,7,1,-0.50051,3.6174,1.7689,0.91206,6.9258,3.4327,-0.00054738,0,0,0,0,0,0.49576,-0.0075063
2207,21310,92.046,7,1,-0.50051,3.6171,1.7689,0.9122,6.9258,3.4332,-0.00048446,0,0,0,0,0,0.49568,-0.0076453
2208,21311,93.046,7,1,-0.50033,3.6167,1.7689,0.91234,6.9258,3.4337,-0.00042113,0,0,0,0,0,0.49561,-0.0077865
2209,21312,94.061,7,1,-0.50051,3.6161,1.7689,0.91249,6.9258,3.4342,-0.00048443,0,0,0,0,0,0.49553,-0.0079276
2210,21313,95.077,7,1,-0.50033,3.6159,1.7689,0.91263,6.9258,3.4347,-0.00041988,0,0,0,0,0,0.49545,-0.0080688
2211,21314,96.092,7,1,-0.50033,3.6154,1.7689,0.91277,6.9258,3.4352,-0.00038757,0,0,0,0,0,0.49537,-0.0082078
2212,21315,97.093,7,1,-0.50051,3.615,1.7689,0.91291,6.9258,3.4358,-0.00045214,0,0,0,0,0,0.49529,-0.008349
2213,21316,98.108,7,1,-0.50015,3.615,1.7689,0.91305,6.9258,3.4363,-0.00035418,0,0,0,0,0,0.49521,-0.0084901
2214,21317,99.108,7,1,-0.50033,3.6146,1.7689,0.91319,6.9258,3.4368,-0.00032296,0,0,0,0,0,0.49513,-0.0086292
2215,21318,100.11,7,1,-0.50051,3.614,1.7689,0.91333,6.9258,3.4373,-0.00038875,0,0,0,0,0,0.49505,-0.0087682
2216,21319,101.12,7,1,-0.50015,3.6138,1.7689,0.91347,6.9258,3.4378,-0.00032195,0,0,0,0,0,0.49497,-0.0089071
2217,21320,102.12,7,1,-0.50051,3.6135,1.7689,0.91361,6.9258,3.4383,-0.00028978,0,0,0,0,0,0.49489,-0.0090483
2218,21321,103.14,7,1,-0.50033,3.6132,1.7689,0.91375,6.9258,3.4388,-0.00035528,0,0,0,0,0,0.49481,-0.0091873
2219,21322,104.16,7,1,-0.50051,3.613,1.7689,0.91389,6.9258,3.4393,-0.000323,0,0,0,0,0,0.49473,-0.0093306
2220,21323,105.16,7,1,-0.50033,3.6127,1.7689,0.91403,6.9258,3.4398,-0.00025915,0,0,0,0,0,0.49466,-0.0094697
2221,21324,106.17,7,1,-0.50033,3.6124,1.7689,0.91417,6.9258,3.4403,-0.00029068,0,0,0,0,0,0.49458,-0.0096108
2222,21325,107.19,7,1,-0.50015,3.6122,1.7689,0.91431,6.9258,3.4408,-0.0002584,0,0,0,0,0,0.4945,-0.0097519
2223,21326,108.19,7,1,-0.50051,3.6119,1.7689,0.91445,6.9258,3.4413,-0.00025921,0,0,0,0,0,0.49442,-0.0098909
2224,21327,109.2,7,1,-0.50033,3.6117,1.7689,0.91459,6.9258,3.4418,-0.00025836,0,0,0,0,0,0.49434,-0.010032
2225,21328,110.22,7,1,-0.50051,3.6112,1.7689,0.91473,6.9258,3.4424,-0.00025916,0,0,0,0,0,0.49426,-0.010173
2226,21329,111.23,7,1,-0.50033,3.6111,1.7689,0.91487,6.9258,3.4429,-0.0002584,0,0,0,0,0,0.49418,-0.010314
2227,21330,112.25,7,1,-0.50051,3.6109,1.7689,0.91501,6.9258,3.4434,-0.00022608,0,0,0,0,0,0.4941,-0.010453
2228,21331,113.25,7,1,-0.50033,3.6107,1.7689,0.91515,6.9258,3.4439,-0.0001932,0,0,0,0,0,0.49402,-0.010595
2229,21332,114.26,7,1,-0.50033,3.6107,1.7689,0.91529,6.9258,3.4444,-0.0001944,0,0,0,0,0,0.49394,-0.010736
2230,21333,115.26,7,1,-0.50015,3.6103,1.7689,0.91543,6.9258,3.4449,-0.0001944,0,0,0,0,0,0.49386,-0.010875
2231,21334,116.28,7,1,-0.50051,3.6101,1.7689,0.91557,6.9258,3.4454,-0.00019377,0,0,0,0,0,0.49378,-0.011016
2232,21335,117.3,7,1,-0.50051,3.6098,1.7689,0.91572,6.9258,3.4459,-0.00025836,0,0,0,0,0,0.4937,-0.011157
2233,21336,118.3,7,1,-0.50033,3.6098,1.7689,0.91585,6.9258,3.4464,-0.00019316,0,0,0,0,0,0.49363,-0.011294
2234,21337,119.3,7,1,-0.50033,3.6094,1.7689,0.91599,6.9258,3.4469,-0.00022678,0,0,0,0,0,0.49355,-0.011435
2235,21338,120.31,7,1,-0.50033,3.6093,1.7689,0.91613,6.9258,3.4474,-0.00019381,0,0,0,0,0,0.49347,-0.011576
2236,21339,121.33,7,1,-0.50051,3.6091,1.7689,0.91628,6.9258,3.4479,-0.00019381,0,0,0,0,0,0.49339,-0.011717
2237,21340,122.34,7,1,-0.50051,3.609,1.7689,0.91641,6.9258,3.4484,-0.00016103,0,0,0,0,0,0.49331,-0.011856
2238,21341,123.34,7,1,-0.50033,3.6088,1.7689,0.91656,6.9258,3.4489,-0.0001938,0,0,0,0,0,0.49323,-0.011998
2239,21342,124.36,7,1,-0.50033,3.6085,1.7689,0.9167,6.9258,3.4494,-0.0001932,0,0,0,0,0,0.49315,-0.012139
2240,21343,125.36,7,1,-0.50033,3.6083,1.7689,0.91684,6.9258,3.4499,-0.00019435,0,0,0,0,0,0.49307,-0.012278
2241,21344,126.37,7,1,-0.50051,3.6081,1.7689,0.91698,6.9258,3.4505,-0.00019381,0,0,0,0,0,0.49299,-0.012419
