Actual,Predicted
0.5,0.542474
0.49797,0.5292754
0.49568,0.5207628
0.49265,0.5108164
0.49188,0.5190772
0.49198,0.51426727
0.48826,0.48411986
0.48046,0.47464806
0.47129,0.46313348
0.46684,0.47750992
0.46214,0.47136614
0.46502,0.46709895
0.4603,0.46251392
0.45963,0.4672003
0.45648,0.44740123
0.45449,0.48091695
0.44948,0.45115936
0.45043,0.46853927
0.44717,0.43477485
0.44632,0.44496378
0.44444,0.45229614
0.44423,0.44431645
0.44074,0.44019178
0.44128,0.45587242
0.43931,0.4485032
0.43614,0.41955045
0.43239,0.4148006
0.42949,0.41539234
0.42878,0.4300002
0.4259,0.4174527
0.42466,0.41668957
0.42313,0.4109135
0.42115,0.4208765
0.41918,0.42005572
0.41896,0.41612682
0.41718,0.42559308
0.41604,0.411585
0.41314,0.40643883
0.4125,0.39890993
0.41042,0.39095974
0.40911,0.41049972
0.40813,0.40295643
0.40619,0.4051635
0.40282,0.39209038
0.40387,0.40812978
0.40178,0.4037145
0.4018,0.41583234
0.39842,0.38468662
0.39593,0.3967672
0.3927,0.3933394
0.39379,0.38698217
0.39093,0.35749978
0.38418,0.35460004
0.37587,0.35530835
0.36986,0.3426493
0.36486,0.34257746
0.36651,0.36149943
0.36476,0.38933256
0.35991,0.31973058
0.35755,0.34315407
0.35854,0.3783687
0.35219,0.3260365
0.35264,0.36567166
0.34929,0.34699935
0.34961,0.3643964
0.34703,0.34566888
0.34608,0.3482355
0.34367,0.34825036
0.34332,0.35803702
0.34067,0.33537894
0.33732,0.31690586
0.33539,0.3367221
0.33167,0.30943146
0.33149,0.34082073
0.32899,0.33487317
0.32676,0.3217054
0.32532,0.3216657
0.32512,0.3558864
0.3216,0.32232162
0.3208,0.33257416
0.3208,0.34590036
0.31782,0.32173705
0.31615,0.3344213
0.31365,0.31586987
0.31359,0.33931363
0.31178,0.32581365
0.30973,0.31454837
0.30941,0.34087464
0.30601,0.30761728
0.3058,0.31950036
0.3034,0.30712965
0.30381,0.32748774
0.30169,0.32772234
0.29856,0.31356242
0.29559,0.2865331
0.29579,0.31154588
0.29579,0.34046236
0.291,0.3378691
0.28091,0.29737768
0.27338,0.2628019
0.26699,0.19471547
0.26759,0.2623279
0.26884,0.31695867
0.26237,0.24638417
0.26292,0.28331384
0.2605,0.28098074
0.25474,0.22513798
0.25377,0.24193017
0.25208,0.24528243
0.25158,0.2665701
0.24975,0.25756687
0.24806,0.25443006
0.24772,0.28640947
0.2453,0.26081857
0.24331,0.2528338
0.24064,0.24374339
0.23968,0.29184636
0.23563,0.25301534
0.233,0.23126955
0.23097,0.23135498
0.22932,0.23266496
0.22819,0.24267244
0.22687,0.24821347
0.22333,0.21584038
0.22221,0.22325517
0.22278,0.25711605
0.21905,0.21742333
0.21978,0.27127096
0.21578,0.21512929
0.21633,0.2397361
0.21453,0.24439648
0.21183,0.21364708
0.21191,0.24417819
0.20875,0.21040037
0.20769,0.21719341
0.20618,0.22203119
0.20571,0.21946898
0.20338,0.20430459
0.20112,0.20899613
0.19831,0.18971775
0.19771,0.20740344
0.19771,0.22102994
0.19421,0.19260073
0.1859,0.17770384
0.17662,0.14703733
0.17203,0.15217288
0.16808,0.14258718
0.17076,0.15325488
0.16551,0.13516171
0.16539,0.16576661
0.16244,0.11782775
0.15929,0.15036722
0.15518,0.12231024
0.15595,0.15710466
0.15331,0.113144554
0.15201,0.12817666
0.14989,0.13092947
0.15001,0.13942438
0.14644,0.11772658
0.14672,0.1428926
0.14499,0.15038851
0.14208,0.11996434
0.13806,0.115049705
0.13519,0.09246835
0.13405,0.101857014
0.13148,0.100381255
0.13032,0.10287302
0.12875,0.06917778
0.12636,0.09461352
0.12455,0.104404986
0.1247,0.07824222
0.1223,0.09655267
0.12175,0.093794025
0.1186,0.09715405
0.11825,0.0800247
0.11646,0.07881674
0.11436,0.09324602
0.1139,0.07373528
0.11144,0.078060746
0.10877,0.07629568
0.10964,0.09936291
0.10763,0.08982753
0.10732,0.08655007
0.10451,0.08196965
0.10143,0.076993935
0.098279,0.06558415
0.099628,0.04534841
0.096567,0.05053799
0.089261,0.050324887
0.081134,0.049919445
0.075609,0.055284537
0.07038,0.032531627
0.072429,0.026458401
0.070042,0.07121758
0.06594,0.0052937367
0.063256,0.02467689
0.064351,0.06506476
0.057814,0.030232444
0.058429,0.06317452
0.054912,0.028022759
0.055436,0.053088795
0.052674,0.033936474
0.051902,0.024777964
0.049062,0.022795249
0.049145,0.05513934
0.046699,0.04340676
0.043071,0.0012029494
0.040666,0.02934966
0.037303,0.01721777
0.037375,0.049072914
0.03457,0.035926614
0.032564,0.01692736
0.031097,0.016840223
0.030569,0.04814953
0.027191,0.02649989
0.026613,0.017860824
0.026579,0.047070812
0.023733,0.010723769
0.021574,0.027095065
0.01959,-0.0066432343
0.018627,0.012431031
0.017452,0.02839061
0.015554,0.00038815915
0.015117,0.026862208
0.011615,-0.001440271
0.011542,0.020121988
0.0091768,-0.0028716293
0.0095439,0.030047366
0.0073358,0.019624894
0.0041895,0.012507717
0.0012269,-0.007785722
0.0015259,0.0016439065
0.8,0.8081151
0.79767,0.8006339
0.79506,0.79607123
0.79163,0.79186755
0.79076,0.79821503
0.79088,0.79075706
0.78667,0.75874
0.77783,0.74769044
0.76742,0.7526163
0.76236,0.7564587
0.75698,0.73031425
0.76027,0.7584867
0.7549,0.7580989
0.75411,0.7590625
0.75049,0.7488674
0.74827,0.7602731
0.74254,0.73200226
0.74363,0.7615754
0.73993,0.7394351
0.73896,0.7488889
0.73682,0.74656606
0.73658,0.7504593
0.73257,0.73351943
0.73317,0.75662225
0.73094,0.7516645
0.72739,0.7401638
0.72311,0.73182017
0.7198,0.7252294
0.71891,0.7365403
0.71566,0.7276342
0.71432,0.7301807
0.71252,0.7236572
0.71023,0.7278514
0.70798,0.72482264
0.70782,0.72652215
0.70566,0.7272994
0.70448,0.72451794
0.70111,0.7199543
0.70047,0.7180942
0.6982,0.7120632
0.6965,0.7190436
0.69553,0.7162161
0.6932,0.7136525
0.68946,0.69390935
0.69068,0.72156084
0.68841,0.7091575
0.68839,0.7223788
0.68456,0.70575684
0.68174,0.70427793
0.67808,0.6825659
0.6793,0.6981557
0.67613,0.67680603
0.66844,0.67279506
0.65895,0.6672866
0.65207,0.6562902
0.64636,0.6429295
0.64824,0.6561085
0.64635,0.6768026
0.64073,0.6247254
0.6381,0.63559604
0.6392,0.66656286
0.63196,0.6388642
0.63245,0.6589632
0.62867,0.63817036
0.629,0.6577368
0.62609,0.6468615
0.62498,0.641622
0.62227,0.6406743
0.62185,0.64986366
0.61881,0.6339578
0.61501,0.6143695
0.61286,0.6352504
0.6086,0.61738735
0.60835,0.634455
0.60552,0.6295047
0.60297,0.6170741
0.60134,0.61886704
0.60111,0.63770294
0.5971,0.61892575
0.5962,0.6174072
0.5962,0.63198537
0.59277,0.6090266
0.59083,0.6188577
0.58801,0.59869677
0.58786,0.6140971
0.58584,0.61292785
0.5835,0.6002608
0.58313,0.61612535
0.57925,0.5958714
0.57901,0.5985078
0.5763,0.5917938
0.57676,0.6083072
0.57436,0.6037547
0.5708,0.59708005
0.5674,0.58040684
0.56765,0.59115225
0.56765,0.60999984
0.56203,0.59791964
0.55062,0.5758391
0.54211,0.55217093
0.53487,0.5264236
0.53555,0.5469933
0.53696,0.5820936
0.52958,0.53656524
0.53014,0.5639708
0.52747,0.5512473
0.5209,0.5279642
0.51986,0.52611953
0.51786,0.53684145
0.51732,0.5447906
0.51522,0.54015446
0.5133,0.53331727
0.51279,0.55116427
0.51016,0.53246355
0.50774,0.52671146
0.50469,0.52320147
0.50352,0.5485726
0.49904,0.52935374
0.49608,0.511744
0.49374,0.5121103
0.49181,0.51434326
0.49052,0.5158423
0.48929,0.5222449
0.48514,0.49783027
0.48387,0.5007822
0.48451,0.5212596
0.48029,0.49318674
0.48106,0.5271767
0.47649,0.49262992
0.47715,0.5077125
0.4751,0.5055693
0.47204,0.4891548
0.47213,0.5012069
0.46848,0.4870068
0.46735,0.48464194
0.46538,0.48769847
0.46506,0.48261037
0.46238,0.4705817
0.4597,0.46962664
0.45644,0.4679525
0.45598,0.48046613
0.45597,0.48067585
0.45237,0.45942184
0.44195,0.4459723
0.4314,0.42269945
0.42616,0.43212062
0.42286,0.4414448
0.42561,0.44934693
0.41928,0.42472595
0.41947,0.44621146
0.41611,0.42285556
0.41136,0.4318895
0.40756,0.42038387
0.40821,0.44126916
0.40589,0.4242259
0.40398,0.42214218
0.4011,0.42002347
0.40186,0.43826655
0.39808,0.40956193
0.3976,0.42841944
0.39567,0.4286802
0.39288,0.42665368
0.38819,0.4047696
0.38505,0.39324844
0.38339,0.40267953
0.38071,0.3949178
0.37938,0.40082723
0.37763,0.3926126
0.37411,0.3862575
0.37259,0.40059635
0.37309,0.39769736
0.36978,0.39982527
0.36972,0.4072164
0.36595,0.3917772
0.36574,0.39347777
0.36369,0.39107084
0.36096,0.38389868
0.36078,0.38941008
0.35756,0.3762462
0.35563,0.38211584
0.35589,0.40480265
0.35367,0.39007613
0.35273,0.39633957
0.35019,0.39579996
0.34603,0.376213
0.34301,0.36090645
0.34452,0.37408623
0.34108,0.3470529
0.33212,0.3389355
0.32267,0.33629757
0.31678,0.34066373
0.31094,0.33117005
0.31369,0.34441793
0.31003,0.35674724
0.30678,0.3228235
0.30312,0.3179001
0.30404,0.38386816
0.29672,0.31548914
0.29763,0.36151013
0.29355,0.32406878
0.29381,0.35798025
0.29085,0.32743573
0.29017,0.33795804
0.28663,0.32321218
0.28704,0.345362
0.28453,0.3471467
0.28018,0.29852435
0.27706,0.30837417
0.27337,0.2890705
0.27328,0.33477446
0.27011,0.31395164
0.268,0.30796477
0.26634,0.30567566
0.26499,0.3304335
0.26182,0.29987612
0.26134,0.315104
0.26089,0.33464736
0.25806,0.31134593
0.25543,0.30536062
0.25367,0.2962728
0.25131,0.2872793
0.25083,0.30874753
0.24904,0.29925787
0.24824,0.33287713
0.24395,0.29495093
0.24419,0.30485
0.24158,0.2900008
0.24192,0.3175194
0.23868,0.30615887
0.23577,0.30026522
0.23246,0.27780584
0.2328,0.2940824
0.23185,0.32275018
0.22493,0.29805216
0.21367,0.26196885
0.20643,0.24753687
0.20034,0.19364345
0.20083,0.23470438
0.2018,0.3103849
0.19427,0.22078115
0.19343,0.23178238
0.19264,0.27864915
0.18577,0.20690161
0.18581,0.2480592
0.18249,0.21750271
0.18247,0.2503297
0.1803,0.24483785
0.17846,0.23606078
0.1772,0.24892373
0.17532,0.24478903
0.17256,0.23466377
0.16909,0.2096206
0.16771,0.24953909
0.1633,0.22052881
0.1613,0.21741155
0.1589,0.21366663
0.15671,0.21106765
0.15532,0.21055393
0.15467,0.24912053
0.15032,0.199058
0.14906,0.2007644
0.14965,0.24373361
0.1455,0.19049689
0.14563,0.24306838
0.14147,0.19326304
0.1423,0.21625501
0.14023,0.22375366
0.13713,0.19073752
0.13719,0.21916617
0.13339,0.19199555
0.13241,0.18083857
0.12998,0.18376452
0.13014,0.18398413
0.12752,0.16939923
0.12474,0.17370246
0.12142,0.16260463
0.12106,0.18091545
0.12106,0.18909506
0.11756,0.1626976
0.10637,0.13718157
0.096038,0.108710706
0.09004,0.10823409
0.087845,0.12010456
0.090366,0.13821901
0.083976,0.11142262
0.084227,0.13888043
0.080881,0.08214435
0.075611,0.10494393
0.072336,0.08958824
0.072645,0.121586286
0.070717,0.09525587
0.068788,0.096517146
0.065772,0.095196195
0.066743,0.12505154
0.063244,0.0860234
0.062164,0.09665935
0.060145,0.1132583
0.057773,0.11590516
0.053054,0.10038797
0.049929,0.061785635
0.048107,0.07372908
0.045582,0.078054324
0.044306,0.08104462
0.042307,0.04723606
0.038803,0.055746324
0.037299,0.07658826
0.037946,0.05302412
0.034388,0.071667396
0.034583,0.08508477
0.030669,0.073336445
0.030608,0.0737232
0.028554,0.060341407
0.025785,0.066695765
0.02564,0.05217831
0.022255,0.060338702
0.020665,0.06741645
0.020605,0.08085465
0.018515,0.05733223
0.017245,0.059566036
0.014896,0.06817403
0.010707,0.054791804
0.0082558,0.046844367
0.0094011,0.04046104
0.5,0.5376493
0.498,0.5254459
0.49574,0.51855475
0.49277,0.5045871
0.492,0.51333094
0.49211,0.5126739
0.48849,0.47972316
0.48079,0.47823966
0.47178,0.47296342
0.46739,0.47700313
0.4627,0.4686964
0.46555,0.478645
0.46097,0.4615758
0.46022,0.45917943
0.45706,0.4674003
0.45529,0.47849035
0.45026,0.45933387
0.45121,0.4659622
0.44793,0.455622
0.44718,0.4579891
0.44531,0.455736
0.44508,0.4541532
0.44164,0.44973037
0.44217,0.45248118
0.44022,0.44331798
0.43707,0.43472648
0.43339,0.42676145
0.43052,0.43225017
0.42989,0.44215184
0.42705,0.43141848
0.42579,0.4300573
0.42433,0.43602702
0.42237,0.43267685
0.42039,0.42892855
0.42016,0.43680674
